County,FIPS,"Age-Adjusted Death Rate(†) - deaths per 100,000",Lower 95% Confidence Interval,Upper 95% Confidence Interval,Average Annual Count,Recent Trend,Recent 5-Year Trend (‡) in Death Rates,Lower 95% Confidence Interval,Upper 95% Confidence Interval
Berrien County,13019,108.2,90.4,128.8,27,rising,1.8,0.4,3.4
Echols County,13101,102.4,60.6,161.7,4,*,*,*,*
Jeff Davis County,13161,97.4,76.7,122.1,16,rising,2.8,1.0,5.0
Upson County,13293,96.6,83,112,37,rising,2.0,0.6,3.6
Chattooga County,13055,94.9,80.5,111.3,32,rising,2.3,0.4,4.6
Long County,13183,87.8,64.5,116.1,10,*,*,*,*
Worth County,13321,85.1,70.7,102,25,rising,3.1,0.7,6.2
Twiggs County,13289,84.4,63.4,111.9,11,*,*,*,*
Turner County,13287,83.2,61.6,110.8,10,*,*,*,*
Heard County,13149,82.4,62.9,106.5,13,*,*,*,*
Polk County,13233,81.8,70.7,94.1,40,rising,1.8,0.3,3.7
Brantley County,13025,78.9,63.3,97.5,18,stable,-0.6,-2.6,1.6
Wayne County,13305,78.4,66,92.6,29,rising,3.2,1.2,5.8
Ware County,13299,77.8,66.8,90.1,37,rising,1.5,0.2,2.9
Atkinson County,13003,77.4,52.9,109.5,7,*,*,*,*
Haralson County,13143,77.2,64.9,91.3,29,rising,1.7,0.1,3.5
Murray County,13213,77.2,66.1,89.6,36,stable,0.4,-0.7,1.8
Clinch County,13065,76.7,50.2,112.2,6,*,*,*,*
McDuffie County,13189,76.7,62.2,93.7,20,stable,1.8,-0.6,4.9
Johnson County,13167,75.6,56.5,100.1,11,*,*,*,*
Butts County,13035,75.3,61.6,91.2,22,stable,-0.3,-7.3,1.4
Montgomery County,13209,74.8,53.3,102.7,8,*,*,*,*
Walker County,13295,74.4,66.8,82.8,71,stable,-2.8,-10.2,1.6
Dade County,13083,74.2,59.1,92.5,17,rising,2.4,0.1,5.7
Colquitt County,13071,74.1,64,85.4,39,stable,1.5,-0.4,3.7
Candler County,13043,73.9,55.6,97,11,*,*,*,*
