EventDate,GroupName,SiteName,SiteID,site_latitude,site_longitude,site_altitude,colony_avg
2022-01-05 10:42:00,AAAS Stream Stompers,Hollow Creek 2,954,33.3434,-81.8222,39.512642,133.0
2022-01-05 11:11:00,AAAS Stream Stompers,Hollow Creek 1,953,33.3345,-81.8534,35.055412,100.0
2022-01-05 14:55:00,Fernandina Beach High School,Egan's Creek Greenway 2,5203,30.6587,-81.4419,-0.41,166.0
2022-01-06 08:50:00,WWALS_Watershed Coalition,Little River @ Folsom Bridge (GA 122),7074,31.0007,-83.4568,44.71,566.0
2022-01-06 10:20:00,WWALS_Watershed Coalition,"Lakeland Boat Ramp @ GA 122, Alapaha River",4769,31.0456,-83.044,50.0,266.0
2022-01-06 12:30:00,WWALS_Watershed Coalition,Withlacoochee River - Knights Ferry Boat Ramp,6567,30.7121,-83.4556,30.78,166.0
2022-01-06 13:08:00,WWALS_Watershed Coalition,Withlacoochee River at State Line Boat Ramp (GA 31),6594,30.6356,-83.3112,17.45,100.0
2022-01-06 13:43:00,WWALS_Watershed Coalition,Withlacoochee River - Nankin Boat Ramp,6566,30.6748,-83.3943,22.08,100.0
2022-01-08 12:02:00,Clean and Beautiful,Level Creek - Cooper Farm Dr,7344,34.0956,-84.0559,308.91,133.0
2022-01-08 12:56:00,Clean and Beautiful,Level Creek - Crystal Downs Way,7345,34.0961,-84.0671,305.18,100.0
2022-01-08 13:24:00,Clean and Beautiful,Level Creek - Brighton Rose Ln,7346,34.1045,-84.0767,303.26,33.0
2022-01-08 14:00:00,Hales Trace,Hale Creek,7205,33.8622,-84.1106,261.94,133.0
2022-01-08 14:13:00,Clean and Beautiful,Level Creek near Gold Mine Dr,6887,34.093,-84.0494,313.4,0.0
2022-01-08 16:30:00,Upper Chattahoochee Trout Unlimited,Johns Creek,2388,34.0113,-84.2196,271.038422,33.0
2022-01-09 08:09:00,Riffle Beetles,Broad River-Briar's Landing,6680,34.074,-83.0043,128.63,466.0
2022-01-09 09:15:00,Riffle Beetles,Mill Shoal Creek at King Hall Mill Rd,5298,34.1589,-83.0657,158.44,200.0
2022-01-09 10:00:00,Riffle Beetles,Scull Shoals at David Homes Church Road,5350,34.1566,-83.1001,164.57,233.0
2022-01-09 10:00:00,River Runners of Ball Ground,Etowah at River House near Airport Dr,6745,34.2969,-84.41,279.23,66.0
2022-01-09 10:00:00,River Runners of Ball Ground,Creek at River House near Airport Dr,6750,34.2966,-84.4107,276.53,0.0
2022-01-09 20:01:00,kecb,Broad River at Anthony Shoals,5157,33.9921,-82.6548,112.99,233.0
2022-01-10 08:44:00,Whitefield Academy 1,Lake Whitefield,7242,33.824,-84.5103,241.11,50.0
2022-01-10 23:30:00,Lake Sovereign,Lake Sovereign - CHD,6866,34.1628,-84.5329,273.27,166.0
2022-01-11 10:00:00,Whitefield Academy 1,Lake Whitefield,7242,33.824,-84.5103,241.11,25.0
2022-01-11 16:30:00,Village North Highlands Subdivision,Tributary of Willeo Creek,2461,34.0458,-84.4361,303.690002,0.0
2022-01-12 10:30:00,Yellow River Water Trail-Gwinnett,Yellow River at GA-20 bridge,7334,33.6921,-83.9968,215.32,33.0
2022-01-12 10:58:00,Concord Woolen Mill,Nickajack Creek at Concord Woolen Mill ruins,5303,33.8493,-84.5562,269.25,100.0
2022-01-12 11:15:00,Thompsonc,"Yellow River Park, 3374 Juhan Rd, Stone Mountain",4756,33.792,-84.0717,233.4,133.0
2022-01-12 11:15:00,Yellow River Water Trail-Gwinnett,Yellow River - Norris Lake Dr.,6829,33.7587,-84.0479,220.33,233.0
2022-01-12 11:15:00,Yellow River Water Trail-Gwinnett,Yellow River at Pleasant Hill Rd bridge,7333,33.7336,-84.0614,215.48,100.0
2022-01-12 14:30:00,Yellow River Water Trail-Gwinnett,Yellow River-Five Forks Trickum Bridge,3979,33.8738,-84.0836,254.84,333.0
2022-01-13 07:45:00,Butler Creek Kennesaw,Southern Tributary of Butler Creek,2006,34.0097,-84.6272,307.337158,200.0
2022-01-13 08:14:00,West Fannin Yellow Jackets,West Fannin Stream,4915,34.9243,-84.38,565.98,0.0
2022-01-13 09:00:00,WWALS_Watershed Coalition,Little River @ Folsom Bridge (GA 122),7074,31.0007,-83.4568,44.71,100.0
2022-01-13 09:30:00,Butler Creek Kennesaw,Butler Creek @ Mack Dobbs Road,5503,34.0172,-84.6429,305.35,300.0
2022-01-13 09:40:00,WWALS_Watershed Coalition,"Withlacoochee River at Hagan Bridge, GA-122",6602,31.0133,-83.3017,46.46,233.0
2022-01-13 10:10:00,WWALS_Watershed Coalition,"Lakeland Boat Ramp @ GA 122, Alapaha River",4769,31.0456,-83.044,50.0,300.0
2022-01-13 14:00:00,Whitefield Academy 1,Lake Whitefield,7242,33.824,-84.5103,241.11,0.0
2022-01-14 08:23:00,West Fannin Yellow Jackets,West Fannin Stream,4915,34.9243,-84.38,565.98,0.0
2022-01-14 09:30:00,Earth First,Noonday Creek south of New Chastain Rd.,4967,34.0331,-84.5392,276.74,33.0
2022-01-14 11:57:00,Upper Chattahoochee Trout Unlimited,Wildcat Creek,2367,33.9575,-84.3318,302.844635,33.0
2022-01-14 13:30:00,Jackson Feeder Creek,Jackson feeder creek,7216,33.8893,-84.1842,301.67,133.0
2022-01-15 10:00:00,Gwinnett County Sierra Club,Suwanee Creek,1203,34.0451,-84.0643,284.640991,133.0
2022-01-15 17:15:00,Tapestry Community,Entrenchment Beaver Pond,3825,33.7276,-84.3613,272.67,0.0
2022-01-15 17:45:00,Tapestry Community,Intrenchment creek,1429,33.7278,-84.3611,272.65,66.0
2022-01-17 16:03:00,"Bet Haverim, Haverim Beyachad ",South Fork Peachtree Creek,1180,33.8044,-84.293,273.74704,600.0
2022-01-17 17:15:00,anna jones,sherwood creek,7208,34.1078,-83.8994,281.52,133.0
2022-01-18 12:01:00,Little Tennessee River Watershed,Rabbit Creek Tributary,7223,35.2112,-83.3252,667.03,33.0
2022-01-19 11:30:00,MOST (Madison-Oglethorpe Stream Team),"Brush Creek, Tesanovich Property",7224,34.0646,-83.1831,196.52,66.0
2022-01-19 14:00:00,MOST (Madison-Oglethorpe Stream Team),S.Fork Broad River at Watson Mill  Bridge State Park,7211,34.0265,-83.075,159.69,166.0
2022-01-19 16:12:00,Weatherstone Subdivision,Tributary of Little River Near Weatherstone,6946,34.0916,-84.4749,272.96,33.0
2022-01-19 16:40:00,Weatherstone Subdivision,Tributary of Little River Near Weatherstone,6947,34.0917,-84.4755,282.95,33.0
2022-01-19 22:15:00,Butler Creek Kennesaw,Proctor Creek at Legacy Park Amphitheater,6752,34.0521,-84.6356,286.12,166.0
2022-01-20 08:50:00,WWALS_Watershed Coalition,Little River @ Folsom Bridge (GA 122),7074,31.0007,-83.4568,44.71,266.0
2022-01-20 09:30:00,WesNettleton,Big Haynes Creek at Hillisde Commons,5414,33.8995,-83.9864,297.06,566.0
2022-01-20 09:40:00,WWALS_Watershed Coalition,"Withlacoochee River at Hagan Bridge, GA-122",6602,31.0133,-83.3017,46.46,500.0
2022-01-20 10:30:00,WWALS_Watershed Coalition,"Lakeland Boat Ramp @ GA 122, Alapaha River",4769,31.0456,-83.044,50.0,66.0
2022-01-20 12:30:00,Mighty Mustangs,Proctor Creek,7329,34.0528,-84.6341,277.33,100.0
2022-01-20 12:35:00,WWALS_Watershed Coalition,Withlacoochee River - Knights Ferry Boat Ramp,6567,30.7121,-83.4556,30.78,466.0
2022-01-20 13:18:00,WWALS_Watershed Coalition,Withlacoochee River - Nankin Boat Ramp,6566,30.6748,-83.3943,22.08,233.0
2022-01-20 13:55:00,WWALS_Watershed Coalition,Withlacoochee River at State Line Boat Ramp (GA 31),6594,30.6356,-83.3112,17.45,300.0
2022-01-21 17:09:00,Whitefield Academy 1,Lake Whitefield,7242,33.824,-84.5103,241.11,0.0
2022-01-22 13:35:00,Upper Etowah Alliance AAS,"Shoal Creek at Moores Mill Bridge, Hwy108/Fincher",3427,34.2634,-84.5955,268.950958,0.0
2022-01-22 14:00:00,Fran Darnall,Shoal Creek at Rhodes Jordan Park,7335,33.958,-83.9795,301.94,233.0
2022-01-23 08:15:00,GSW Sciences,Muckalee Creek at McLittle Bridge Rd,7175,32.0067,-84.2266,95.07,33.0
2022-01-23 11:00:00,Sierra Club Cobb Centennial Group,Rottenwood Creek,704,33.9284,-84.4833,281.720856,0.0
