EventDate,GroupName,SiteName,SiteID,site_latitude,site_longitude,site_altitude,colony_avg
12/15/03 10:07 AM,Knowles Landing,Whitewater Creek,2831,32.3791,-84.1845,103.932671,500.0
11/15/08 10:00 AM,UOWN,Orange Trail Creek,475,33.9015,-83.3797,172.007858,310.0
1/25/09 1:30 PM,Highlands at Wesley Chapel at Sweat Creek,Tributary of Willeo Creek at Sweat Creek,1177,34.0479,-84.4394,304.533356,0.0
1/25/09 4:15 PM,Leigh Lyjak,Trib of Little Noonday Creek,925,34.0258,-84.5086,297.500031,67.0
2/8/09 12:53 PM,Belwood,Allatoona Creek,1196,33.9692,-84.6851,282.443573,0.0
2/8/09 1:55 PM,Belwood,Allatoona Creek,1003,33.9929,-84.6895,271.065521,0.0
2/8/09 3:15 PM,Belwood,Allatoona Creek,1195,34.0163,-84.6991,261.655212,0.0
2/8/09 3:50 PM,Sumter Lake Neighborhood,Sumter Lake,748,34.0026,-84.4605,322.150818,33.0
2/10/09 3:00 PM,Lakewood Colony,Detention pond on tributary of Rubes Creek,869,34.0561,-84.4971,283.80954,0.0
2/10/09 4:30 PM,Environmental Club of Walton High School,Sope Creek,149,33.9426,-84.4377,274.730164,67.0
2/12/09 8:45 AM,Walton HS AP Environmental Science Class,Tributary of Sewell Mill Creek,760,33.9882,-84.4386,291.760864,33.0
2/16/09 5:07 PM,Taylor Measures,Highland Lake,913,34.0446,-84.4266,299.362061,0.0
2/21/09 10:00 AM,Sierra Club Cobb Centennial Group,Rottenwood Creek,504,33.8805,-84.4513,234.42,200.0
2/22/09 10:45 AM,Sierra Club Cobb Centennial Group,Rottenwood Creek,704,33.9284,-84.4833,281.720856,0.0
3/5/09 2:55 PM,High Falls Lake Association,Buck Creek,1385,33.1848,-84.0333,181.93,0.0
3/5/09 3:25 PM,High Falls Lake Association,Brushy Creek,1386,33.1887,-84.0333,181.49,0.0
3/5/09 3:55 PM,High Falls Lake Association,Pool Dock,1388,33.1669,-84.0167,192.973602,267.0
3/5/09 4:25 PM,High Falls Lake Association,Light Line,1390,33.1925,-84.0245,190.4,167.0
3/5/09 4:55 PM,High Falls Lake Association,Mid Lake [High Falls Lake],1389,33.1992,-84.0317,190.73,200.0
3/5/09 5:25 PM,High Falls Lake Association,Tow,1387,33.2036,-84.0379,188.95,233.0
