EventDate,GroupName,SiteName,SiteID,site_latitude,site_longitude,site_altitude,do_saturation,NitrateN
2022-01-09 09:15:00,Riffle Beetles,Mill Shoal Creek at King Hall Mill Rd,5298,34.1589,-83.0657,158.44,87.01,1.4
2022-01-09 10:00:00,Riffle Beetles,Scull Shoals at David Homes Church Road,5350,34.1566,-83.1001,164.57,87.02,1.2
2022-01-14 12:08:00,Chattahoochee Stream Stewards,Gold Branch Creek,6758,33.9842,-84.3841,263.77,75.95,0.0
2022-01-14 15:45:00,Toonigh Neighbors,Toonigh Creek,154,34.1504,-84.5196,274.650085,89.36,0.03
2022-01-23 08:15:00,GSW Sciences,Muckalee Creek at McLittle Bridge Rd,7175,32.0067,-84.2266,95.07,89.22,0.5
2022-01-27 13:48:00,Bent Tree StreamKeepers,lower Sallie Doss Stream,7249,34.4947,-84.3629,463.7,69.38,0.13
2022-01-27 01:55:00,Bent Tree StreamKeepers,Coffey Cove Creek,5486,34.4962,-84.3604,461.97,78.1,0.0
2022-01-27 13:00:00,Bent Tree StreamKeepers,Long Swamp Creek at Beaver Run Trail,5483,34.5009,-84.3619,468.73,78.0,0.25
2022-01-27 11:05:00,Bent Tree StreamKeepers,Long Swamp Creek at Memorial Garden Trail,5484,34.4911,-84.3759,444.9,63.46,0.25
2022-01-27 12:32:00,Bent Tree StreamKeepers,Mulligans Creek,5485,34.4887,-84.366,460.34,76.92,0.25
2022-01-28 14:00:00,GSW Sciences,Muckalee Creek at Three Bridges Road,5404,31.9394,-84.2084,87.54,79.26,0.0
2022-01-21 17:09:00,Whitefield Academy 1,Lake Whitefield,7242,33.824,-84.5103,241.11,94.56,0.03
2022-01-24 14:00:00,Whitefield Academy 1,Lake Whitefield,7242,33.824,-84.5103,241.11,112.18,0.03
2022-01-26 17:16:00,Whitefield Academy 1,Lake Whitefield,7242,33.824,-84.5103,241.11,99.24,0.05
2022-01-27 13:00:00,Whitefield Academy 1,Lake Whitefield,7242,33.824,-84.5103,241.11,114.36,0.06
2022-01-29 14:30:00,Whitefield Academy 1,Nickajack Creek,6819,33.8263,-84.5114,238.21,91.42,0.46
2022-01-31 08:30:00,Whitefield Academy 1,Lake Whitefield,7242,33.824,-84.5103,241.11,90.6,1.81
2022-01-30 14:30:00,Chattahoochee Stream Stewards,Coyote Creek (Hewlett Creek),5402,33.9865,-84.3234,263.39,81.59,0.0
2022-01-31 17:30:00,Chattahoochee Stream Stewards,Gold Branch Creek,6758,33.9842,-84.3841,263.77,94.15,0.0
2022-01-31 15:20:00,Upper Etowah Alliance AAS,Canton Creek,1235,34.2298,-84.4918,262.24,95.76,0.5
2022-02-01 11:30:00,Whitefield Academy 1,Lake Whitefield,7242,33.824,-84.5103,241.11,100.02,0.79
2022-02-02 14:15:00,Whitefield Academy 1,Lake Whitefield,7242,33.824,-84.5103,241.11,104.07,0.5
2022-02-09 11:00:00,Whitefield Academy 1,Lake Whitefield,7242,33.824,-84.5103,241.11,84.08,0.95
2022-02-12 11:28:00,Chattahoochee Stream Stewards,Gold Branch Creek,6758,33.9842,-84.3841,263.77,78.18,0.0
2022-02-11 13:30:00,Toonigh Neighbors,Toonigh Creek,154,34.1504,-84.5196,274.650085,60.1,0.3
